,wavelength,n,k
579,1.321694092,3.256961,2.477364
580,1.325125122,3.260642,2.480576
581,1.328556519,3.264325,2.483794
582,1.331988525,3.268008,2.487017
583,1.335421021,3.271694,2.490246
584,1.338853882,3.275382,2.493481
585,1.342287354,3.279072,2.496721
586,1.345721191,3.282765,2.499966
587,1.349155518,3.286462,2.503217
588,1.352590454,3.290162,2.506472
589,1.356025635,3.293867,2.509733
590,1.359461426,3.297575,2.512998
591,1.362897705,3.301289,2.516268
592,1.366334351,3.305007,2.519542
593,1.369771606,3.30873,2.522821
594,1.373209229,3.312459,2.526104
595,1.376647339,3.316195,2.529392
596,1.380085938,3.319936,2.532683
597,1.383525024,3.323684,2.535978
598,1.3869646,3.327438,2.539276
599,1.390404541,3.3312,2.542578
600,1.393844971,3.334969,2.545883
601,1.397285889,3.338745,2.549192
602,1.400727417,3.34253,2.552503
603,1.404169312,3.346322,2.555817
604,1.407611694,3.350123,2.559134
605,1.411054443,3.353932,2.562452
606,1.414497803,3.357751,2.565773
607,1.41794165,3.361578,2.569097
608,1.421385864,3.365414,2.572421
609,1.424830688,3.369261,2.575748
610,1.428275757,3.373116,2.579076
611,1.431721436,3.376982,2.582405
612,1.435167725,3.380858,2.585735
613,1.438614258,3.384744,2.589066
614,1.442061279,3.388641,2.592397
615,1.445508911,3.392548,2.595729
616,1.448956909,3.396466,2.599061
617,1.452405518,3.400396,2.602394
618,1.45585437,3.404336,2.605726
619,1.459303955,3.408289,2.609057
620,1.462753784,3.412252,2.612388
621,1.466204224,3.416228,2.615718
622,1.469655029,3.420215,2.619047
623,1.473106323,3.424215,2.622375
624,1.476558228,3.428227,2.625702
625,1.480010498,3.432251,2.629027
626,1.483463135,3.436288,2.63235
627,1.486916382,3.440337,2.635671
628,1.490370117,3.4444,2.63899
629,1.493824341,3.448476,2.642306
630,1.497278931,3.452564,2.64562
631,1.500734131,3.456666,2.648931
632,1.504189697,3.460781,2.652238
633,1.507645752,3.46491,2.655543
634,1.511102173,3.469053,2.658843
635,1.514559204,3.473209,2.66214
636,1.518016602,3.47738,2.665434
637,1.521474609,3.481564,2.668723
638,1.524932983,3.485763,2.672008
639,1.528391846,3.489976,2.675288
640,1.531851196,3.494203,2.678563
641,1.535311035,3.498446,2.681834
642,1.53877124,3.502702,2.685099
